name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Maku,39.29,44.45,61.23,59,49,0.04,IR,1601084717
Sur,22.57,59.53,82.33,54,0,4.63,OM,1601084718
Vokhma,58.93,46.76,46.36,93,28,4.38,RU,1601084718
Sawtell,-30.38,153.1,66.99,31,0,13.87,AU,1601084718
Grindavik,63.84,-22.43,46.4,93,90,32.21,IS,1601084719
Udachny,66.42,112.4,32.0,69,40,4.47,RU,1601084719
Ndendé,-2.4,11.36,71.47,91,91,1.99,GA,1601084719
Alekseyevsk,57.84,108.35,50.81,75,100,1.36,RU,1601084720
Djambala,-2.54,14.75,66.63,94,100,3.94,CG,1601084720
Provideniya,64.38,-173.3,37.69,71,0,8.55,RU,1601084720
Oodweyne,9.41,45.06,75.16,52,30,8.84,SO,1601084721
Sarmanovo,55.26,52.59,41.0,86,100,6.71,RU,1601084721
Westport,41.14,-73.36,68.0,88,1,8.05,US,1601084549
Zhezkazgan,47.8,67.71,37.4,75,0,13.42,KZ,1601084722
Ngunguru,-35.62,174.5,66.99,85,19,13.0,NZ,1601084722
Honiara,-9.43,159.95,86.0,74,75,13.87,SB,1601084722
Harper,4.38,-7.72,75.83,91,60,9.64,LR,1601084723
Yabēlo,4.88,38.08,59.11,82,93,8.66,ET,1601084723
Lingao,19.91,109.69,84.13,74,100,4.9,CN,1601084585
Wenatchee,47.42,-120.31,62.6,45,1,18.34,US,1601084724
Lokachi,50.74,24.65,64.0,92,48,14.0,UA,1601084724
Jumla,29.27,82.18,58.66,48,1,2.75,NP,1601084724
Sabang,5.89,95.32,82.42,74,100,11.27,ID,1601084725
Nacala,-14.54,40.67,70.7,86,1,5.95,MZ,1601084725
Saldanha,-33.01,17.94,50.0,76,27,4.7,ZA,1601084725
Wattegama,6.8,81.48,77.0,100,75,5.82,LK,1601084726
Hobyo,5.35,48.53,75.61,85,100,18.81,SO,1601084726
Pevek,69.7,170.31,33.31,96,100,9.08,RU,1601084726
Beringovskiy,63.05,179.32,38.68,75,84,21.0,RU,1601084727
Tyrma,50.08,132.17,61.02,65,0,4.52,RU,1601084727
Havelock,34.88,-76.9,72.0,94,90,3.36,US,1601084616
São José da Coroa Grande,-8.9,-35.15,73.9,85,3,8.55,BR,1601084728
Buin,-33.73,-70.75,50.0,87,75,8.05,CL,1601084728
Le Port,-20.94,55.29,71.6,64,75,16.11,RE,1601084555
Deputatsky,69.3,139.9,45.66,50,0,1.83,RU,1601084729
Pasni,25.26,63.47,78.64,80,0,10.8,PK,1601084655
Meulaboh,4.14,96.13,79.27,78,97,3.47,ID,1601084730
Sumenep,-7.02,113.87,87.67,52,93,9.37,ID,1601084730
Dutse,11.76,9.34,74.77,81,90,6.71,NG,1601084730
Sioux Lookout,50.1,-91.92,55.4,93,20,4.7,CA,1601084731
Da Lat,11.95,108.44,68.74,88,100,1.81,VN,1601084660
Gushikawa,26.35,127.87,80.6,78,20,11.41,JP,1601084731
Diamantina,-18.25,-43.6,58.89,87,0,4.32,BR,1601084732
Haapsalu,58.94,23.54,57.99,82,100,8.01,EE,1601084732
Coquimbo,-29.95,-71.34,53.6,81,6,6.93,CL,1601084733
Yumen,40.28,97.2,53.71,39,0,18.88,CN,1601084733
Sainte-Rose,16.33,-61.7,78.8,94,40,1.12,GP,1601084733
Codó,-4.46,-43.89,78.76,72,23,6.91,BR,1601084734
Lehututu,-23.97,21.87,56.82,35,0,13.76,BW,1601084735
Raudeberg,61.99,5.14,50.0,77,100,27.47,NO,1601084735
Tres Picos,15.87,-93.53,79.56,78,99,2.51,MX,1601084735
Buala,-8.14,159.59,85.3,70,98,10.11,SB,1601084736
Sweetwater,25.76,-80.37,80.6,83,75,4.7,US,1601084736
Boa Vista,2.82,-60.67,86.0,55,10,10.29,BR,1601084708
Praia,14.92,-23.51,78.8,83,20,5.82,CV,1601084736
Nkoteng,4.52,12.03,68.79,97,100,4.83,CM,1601084737
Touros,-5.2,-35.46,75.2,78,20,6.93,BR,1601084737
Ketchikan,55.34,-131.65,55.4,100,90,8.05,US,1601084737
Coolum Beach,-26.53,153.1,75.0,28,0,5.99,AU,1601084737
Bendigo,-36.77,144.28,50.0,65,82,4.0,AU,1601084479
Safford,32.83,-109.71,95.0,12,1,11.41,US,1601084738
Rongcheng,30.63,117.85,72.0,92,93,6.11,CN,1601084738
Yar-Sale,66.83,70.83,39.09,91,100,10.76,RU,1601084738
Saurimo,-9.66,20.39,66.33,79,0,3.15,AO,1601084739
Florø,61.6,5.03,50.0,61,100,9.17,NO,1601084739
Moindou,-21.69,165.68,87.8,40,3,10.29,NC,1601084739
Galesong,-5.32,119.37,87.8,52,20,4.7,ID,1601084740
Polyarny,69.2,33.45,46.4,87,99,4.47,RU,1601084740
Destin,30.39,-86.5,78.8,78,1,4.7,US,1601084672
Sorong,-0.88,131.25,83.98,68,100,6.06,ID,1601084741
Nouadhibou,20.93,-17.03,77.0,78,43,13.87,MR,1601084741
Ayaviri,-14.89,-70.59,47.16,45,0,2.26,PE,1601084741
Naujoji Akmenė,56.32,22.9,59.0,77,57,10.29,LT,1601084742
Tommot,58.96,126.29,58.01,48,12,13.35,RU,1601084742
Comodoro Rivadavia,-45.87,-67.5,50.0,71,0,1.12,AR,1601084499
Merrill,45.18,-89.68,69.8,72,1,10.29,US,1601084742
Halifax,44.65,-63.57,52.0,62,20,5.82,CA,1601084689
Dudinka,69.41,86.18,39.2,100,75,8.95,RU,1601084743
Celestún,20.87,-90.4,82.8,80,95,11.79,MX,1601084743
Patiya,22.29,91.98,80.6,88,75,4.7,BD,1601084743
Grand Gaube,-20.01,57.66,69.01,78,14,5.99,MU,1601084744
Qian’an,44.99,124.06,66.96,64,0,5.23,CN,1601084744
Polunochnoye,60.87,60.42,41.83,95,1,2.98,RU,1601084744
Fortuna,40.6,-124.16,69.01,77,40,6.93,US,1601084745
Tazovsky,67.47,78.7,38.64,92,100,8.3,RU,1601084745
Geneva,41.89,-88.31,70.0,64,1,6.93,US,1601084624
Iqaluit,63.75,-68.51,32.0,95,75,10.29,CA,1601084745
Bull Savanna,17.89,-77.59,78.69,85,13,6.85,JM,1601084745
Urusha,54.05,122.9,47.59,87,100,8.59,RU,1601084746
Roald,62.58,6.13,48.2,70,100,26.4,NO,1601084746
Margate,51.38,1.39,51.01,55,93,14.0,GB,1601084610
Lebu,-37.62,-73.65,49.39,81,97,8.48,CL,1601084746
Saint George,37.1,-113.58,91.4,11,1,9.17,US,1601084747
Evensk,61.95,159.23,52.77,46,14,5.82,RU,1601084747
São Geraldo do Araguaia,-6.4,-48.55,79.16,68,87,1.52,BR,1601084748
Nyurba,63.28,118.33,47.77,68,1,6.82,RU,1601084748
